date,subs,views,subs_techtrek,views_techtrek,followers_instagram,following_instagram,media_instagram,avg_likes_instagram,avg_comments_instagram,followers_twitter,following_twitter,tweets_twitter,favorites_twitter,followers_tiktok,following_tiktok,likes_tiktok,uploads_tiktok
2021-12-10,139000.0,8922537.0,2410.0,11667.0,4304.0,796.0,151.0,514.375,32.125,3453.0,175.0,483.0,690.0,,,,
2021-12-09,139000.0,8904965.0,2410.0,11613.0,4307.0,796.0,151.0,514.375,32.125,3453.0,175.0,483.0,690.0,,,,
2021-12-08,139000.0,8904965.0,2400.0,11561.0,4310.0,794.0,151.0,514.375,32.125,3452.0,175.0,483.0,690.0,,,,
2021-12-07,139000.0,8886800.0,2400.0,11530.0,4311.0,795.0,151.0,514.375,32.125,3452.0,175.0,483.0,690.0,,,,
2021-12-06,139000.0,8886800.0,2390.0,11497.0,4309.0,795.0,151.0,514.438,32.125,3453.0,175.0,483.0,690.0,,,,
2021-12-05,138000.0,8868052.0,2390.0,11469.0,4306.0,795.0,151.0,514.562,32.125,3456.0,175.0,483.0,690.0,,,,
2021-12-04,138000.0,8868052.0,2390.0,11424.0,4307.0,795.0,151.0,514.562,32.125,3450.0,175.0,483.0,690.0,,,,
2021-12-03,138000.0,8849151.0,2390.0,11379.0,4302.0,796.0,151.0,514.375,32.125,3447.0,175.0,483.0,690.0,,,,
2021-12-02,138000.0,8840177.0,2380.0,11313.0,4300.0,797.0,151.0,514.188,32.125,3446.0,175.0,483.0,690.0,,,,
2021-12-01,138000.0,8840177.0,2380.0,11266.0,4301.0,798.0,151.0,514.188,32.125,3447.0,175.0,483.0,690.0,,,,
2021-11-30,138000.0,8819190.0,2370.0,11205.0,4299.0,798.0,151.0,514.188,32.125,3448.0,175.0,483.0,690.0,,,,
2021-11-29,138000.0,8819190.0,2370.0,11165.0,4300.0,798.0,151.0,513.938,32.125,3444.0,175.0,483.0,690.0,,,,
2021-11-28,138000.0,8808716.0,2370.0,11135.0,4294.0,798.0,151.0,513.75,32.0625,3443.0,175.0,483.0,690.0,,,,
2021-11-27,137000.0,8799878.0,2370.0,11106.0,4286.0,798.0,151.0,513.75,32.0625,3440.0,175.0,483.0,690.0,,,,
2021-11-26,137000.0,8791100.0,2360.0,11084.0,4288.0,798.0,151.0,514.062,32.25,3437.0,175.0,483.0,690.0,,,,
2021-11-25,137000.0,8781827.0,2360.0,11058.0,4288.0,797.0,151.0,514.0,32.25,3436.0,175.0,483.0,691.0,,,,
2021-11-24,137000.0,8772450.0,2360.0,11020.0,4287.0,797.0,151.0,514.0,32.25,3436.0,175.0,483.0,691.0,,,,
