date,subs,views
2019-11-03,18900,1975933
2019-11-02,18800,1970653
2019-11-01,18800,1965557
2019-10-31,18700,1960539
2019-10-30,18600,1955515
2019-10-29,18600,1950164
2019-10-28,18500,1945053
2019-10-27,18400,1940246
2019-10-26,18300,1935172
2019-10-25,18300,1933766
2019-10-24,18200,1924915
2019-10-23,18100,1919548
2019-10-22,18100,1918267
2019-10-21,18000,1912286
2019-10-20,17900,1906862
2019-10-19,17700,1896520
2019-10-18,17600,1890787
2019-10-17,17500,1884390
2019-10-16,17400,1878607
2019-10-15,17400,1873013
2019-10-14,17200,1867526
2019-10-13,17200,1861837
2019-10-12,17100,1856457
2019-10-11,17000,1851265
2019-10-10,16900,1846044
2019-10-09,16800,1840569
2019-10-08,16700,1835491
2019-10-07,16700,1833925
2019-10-06,16700,1829835
2019-10-05,16600,1823991
2019-10-04,16400,1815292
2019-10-03,16400,1811802
2019-10-02,16300,1809263
2019-10-01,16200,1803638
2019-09-30,16100,1794884
2019-09-29,15900,1787204
2019-09-28,15900,1782073
2019-09-27,15800,1777222
2019-09-26,15700,1772101
2019-09-25,15700,1766822
2019-09-24,15600,1761609
2019-09-23,15500,1756323
2019-09-22,15400,1750691
2019-09-21,15300,1745856
2019-09-20,15200,1740992
2019-09-19,15200,1737336
2019-09-18,15100,1732202
2019-09-17,15067,1727243
2019-09-16,14963,1720523
2019-09-14,14863,1714002
2019-09-13,14769,1707687
2019-09-12,14695,1702068
2019-09-10,14561,1694287
2019-09-09,14473,1689426
2019-09-08,14346,1681792
2019-09-06,14211,1672834
2019-09-05,14153,1668920
2019-09-04,14057,1662916
2019-09-03,13954,1656942
2019-09-01,13804,1646603
2019-08-30,13725,1639165
2019-08-29,13639,1632495
2019-08-27,13556,1626795
2019-08-26,13474,1620955
2019-08-25,13355,1614193
2019-08-24,13257,1607688
2019-08-22,13174,1602756
2019-08-21,13089,1597088
2019-08-20,12970,1589645
2019-08-19,12914,1585783
2019-08-18,12853,1582412
2019-08-17,12704,1573598
2019-08-16,12634,1568577
2019-08-14,12550,1562668
2019-08-13,12465,1555931
2019-08-12,12383,1550470
2019-08-11,12255,1545202
2019-08-10,12137,1539130
2019-08-08,12026,1532663
2019-08-07,11868,1525539
2019-08-05,11773,1519747
2019-08-04,11675,1513215
2019-08-02,11605,1508891
2019-08-01,11500,1502478
2019-07-30,11299,1491009
2019-07-28,11200,1483838
2019-07-27,11080,1478033
2019-07-26,11046,1475136
2019-07-25,10966,1469233
